"ID предупреждения";"Текст предупреждения"
cannot_get_last_startup_time;"Не удалось получить время последнего старта устройства"
Идентификатор;"Тип прохода";"Временная метка"
21229379;"Вход";"2024-12-15 08:37:16"
21229380;"Выход";"2024-12-15 09:22:11"
21229381;"Выход";"2024-12-15 09:22:09"
21229386;"Вход";"2024-12-15 09:22:39"
21229387;"Выход";"2024-12-15 09:23:13"
21229388;"Выход";"2024-12-15 09:23:03"
21229389;"Вход";"2024-12-15 09:23:13"
21229400;"Вход";"2024-12-15 09:23:46"
21229411;"Выход";"2024-12-15 09:25:25"
21229416;"Вход";"2024-12-15 09:26:15"
21229419;"Вход";"2024-12-15 09:40:04"
21229420;"Вход";"2024-12-15 09:50:45"
21229421;"Вход";"2024-12-15 09:51:00"
21229422;"Выход";"2024-12-15 09:51:10"
21229423;"Вход";"2024-12-15 09:51:32"
21229424;"Вход";"2024-12-15 09:56:37"
21229425;"Вход";"2024-12-15 09:56:51"
21229426;"Вход";"2024-12-15 09:57:16"
21229427;"Вход";"2024-12-15 09:58:52"
21229428;"Вход";"2024-12-15 09:58:53"
21229429;"Выход";"2024-12-15 09:59:04"
21229430;"Выход";"2024-12-15 09:59:02"
21229431;"Вход";"2024-12-15 10:00:18"
21229432;"Выход";"2024-12-15 10:02:09"
21229433;"Выход";"2024-12-15 10:02:08"
21229434;"Вход";"2024-12-15 10:03:49"
21229435;"Вход";"2024-12-15 10:03:50"
21229437;"Вход";"2024-12-15 10:04:12"
21229439;"Вход";"2024-12-15 10:04:57"
21229440;"Вход";"2024-12-15 10:04:57"
21229441;"Вход";"2024-12-15 10:05:04"
21229442;"Вход";"2024-12-15 10:05:04"
21229443;"Вход";"2024-12-15 10:05:05"
21229444;"Вход";"2024-12-15 10:05:05"
21229445;"Вход";"2024-12-15 10:05:30"
21229446;"Вход";"2024-12-15 10:05:48"
21229447;"Вход";"2024-12-15 10:05:49"
21229448;"Вход";"2024-12-15 10:05:49"
21229449;"Вход";"2024-12-15 10:06:50"
21229450;"Вход";"2024-12-15 10:07:06"
21229451;"Выход";"2024-12-15 10:08:02"
21229452;"Выход";"2024-12-15 10:08:16"
21229453;"Вход";"2024-12-15 10:08:46"
21229454;"Вход";"2024-12-15 10:08:49"
21229455;"Вход";"2024-12-15 10:09:44"
21229456;"Вход";"2024-12-15 10:09:59"
21229457;"Вход";"2024-12-15 10:10:11"
21229458;"Выход";"2024-12-15 10:11:00"
21229459;"Выход";"2024-12-15 10:10:59"
21229460;"Выход";"2024-12-15 10:11:03"
21229461;"Выход";"2024-12-15 10:11:46"
21229462;"Выход";"2024-12-15 10:11:46"
21229463;"Вход";"2024-12-15 10:12:20"
21229464;"Вход";"2024-12-15 10:12:22"
21229465;"Выход";"2024-12-15 10:13:28"
21229466;"Выход";"2024-12-15 10:14:08"
21229467;"Выход";"2024-12-15 10:14:07"
21229468;"Выход";"2024-12-15 10:14:10"
21229469;"Выход";"2024-12-15 10:14:07"
21229470;"Вход";"2024-12-15 10:14:16"
21229471;"Вход";"2024-12-15 10:14:18"
21229472;"Вход";"2024-12-15 10:14:19"
21229473;"Вход";"2024-12-15 10:14:32"
21229474;"Вход";"2024-12-15 10:14:35"
21229475;"Вход";"2024-12-15 10:14:35"
21229476;"Вход";"2024-12-15 10:16:29"
21229477;"Вход";"2024-12-15 10:16:31"
21229478;"Выход";"2024-12-15 10:17:17"
21229479;"Вход";"2024-12-15 10:17:49"
21229480;"Вход";"2024-12-15 10:17:50"
21229481;"Выход";"2024-12-15 10:18:16"
21229482;"Вход";"2024-12-15 10:18:34"
21229483;"Вход";"2024-12-15 10:18:43"
21229484;"Вход";"2024-12-15 10:18:44"
21229485;"Вход";"2024-12-15 10:18:55"
21229486;"Вход";"2024-12-15 10:19:19"
21229487;"Вход";"2024-12-15 10:20:18"
21229488;"Выход";"2024-12-15 10:20:46"
21229489;"Вход";"2024-12-15 10:20:52"
21229490;"Вход";"2024-12-15 10:20:52"
21229491;"Выход";"2024-12-15 10:21:27"
21229492;"Выход";"2024-12-15 10:21:24"
21229493;"Вход";"2024-12-15 10:21:54"
21229496;"Вход";"2024-12-15 10:21:59"
21229497;"Вход";"2024-12-15 10:22:01"
21229498;"Вход";"2024-12-15 10:22:02"
21229499;"Вход";"2024-12-15 10:22:05"
21229502;"Выход";"2024-12-15 10:22:08"
21229503;"Выход";"2024-12-15 10:22:06"
21229506;"Вход";"2024-12-15 10:22:52"
21229507;"Вход";"2024-12-15 10:22:53"
21229508;"Вход";"2024-12-15 10:23:04"
21229511;"Выход";"2024-12-15 10:23:47"
21229512;"Выход";"2024-12-15 10:23:35"
21229513;"Вход";"2024-12-15 10:23:50"
21229514;"Вход";"2024-12-15 10:23:56"
21229515;"Вход";"2024-12-15 10:23:56"
21229516;"Выход";"2024-12-15 10:23:59"
21229517;"Выход";"2024-12-15 10:23:59"
21229518;"Выход";"2024-12-15 10:24:44"
21229519;"Выход";"2024-12-15 10:24:45"
21229522;"Вход";"2024-12-15 10:25:53"
21229523;"Выход";"2024-12-15 10:25:56"
21229524;"Выход";"2024-12-15 10:25:55"
21229525;"Выход";"2024-12-15 10:25:56"
21229526;"Выход";"2024-12-15 10:26:21"
21229527;"Вход";"2024-12-15 10:26:44"
21229528;"Вход";"2024-12-15 10:26:44"
21229529;"Вход";"2024-12-15 10:27:48"
21229530;"Выход";"2024-12-15 10:27:54"
21229531;"Выход";"2024-12-15 10:28:26"
21229532;"Выход";"2024-12-15 10:27:59"
21229533;"Вход";"2024-12-15 10:28:37"
21229536;"Выход";"2024-12-15 10:28:50"
21229537;"Вход";"2024-12-15 10:29:14"
21229538;"Вход";"2024-12-15 10:29:16"
21229539;"Вход";"2024-12-15 10:29:17"
21229540;"Вход";"2024-12-15 10:29:20"
21229541;"Вход";"2024-12-15 10:29:19"
21229542;"Вход";"2024-12-15 10:29:31"
21229543;"Вход";"2024-12-15 10:29:31"
21229544;"Выход";"2024-12-15 10:29:38"
21229545;"Выход";"2024-12-15 10:29:32"
21229546;"Выход";"2024-12-15 10:29:34"
21229547;"Выход";"2024-12-15 10:29:34"
21229548;"Выход";"2024-12-15 10:30:05"
21229549;"Выход";"2024-12-15 10:29:38"
21229550;"Вход";"2024-12-15 10:30:02"
21229551;"Выход";"2024-12-15 10:30:28"
21229552;"Выход";"2024-12-15 10:30:49"
21229553;"Выход";"2024-12-15 10:30:28"
21229554;"Вход";"2024-12-15 10:30:55"
21229555;"Вход";"2024-12-15 10:30:57"
21229556;"Выход";"2024-12-15 10:31:09"
21229557;"Выход";"2024-12-15 10:31:07"
21229558;"Вход";"2024-12-15 10:31:11"
21229559;"Вход";"2024-12-15 10:31:12"
21229562;"Вход";"2024-12-15 10:31:37"
21229563;"Вход";"2024-12-15 10:31:37"
21229564;"Вход";"2024-12-15 10:32:05"
21229565;"Вход";"2024-12-15 10:32:05"
21229566;"Выход";"2024-12-15 10:32:13"
21229567;"Выход";"2024-12-15 10:32:12"
21229568;"Вход";"2024-12-15 10:32:16"
21229571;"Вход";"2024-12-15 10:32:35"
21229572;"Вход";"2024-12-15 10:32:48"
21229573;"Вход";"2024-12-15 10:32:52"
21229576;"Вход";"2024-12-15 10:32:52"
21229577;"Вход";"2024-12-15 10:32:53"
21229578;"Вход";"2024-12-15 10:32:54"
21229579;"Выход";"2024-12-15 10:33:05"
21229580;"Выход";"2024-12-15 10:33:04"
21229581;"Вход";"2024-12-15 10:33:28"
21229582;"Вход";"2024-12-15 10:33:28"
21229583;"Вход";"2024-12-15 10:33:30"
21229584;"Вход";"2024-12-15 10:33:31"
21229585;"Выход";"2024-12-15 10:33:47"
21229588;"Выход";"2024-12-15 10:33:46"
21229589;"Вход";"2024-12-15 10:34:24"
21229590;"Вход";"2024-12-15 10:34:25"
21229591;"Выход";"2024-12-15 10:34:28"
21229592;"Вход";"2024-12-15 10:34:26"
21229593;"Вход";"2024-12-15 10:34:27"
21229594;"Выход";"2024-12-15 10:34:30"
21229595;"Вход";"2024-12-15 10:34:28"
21229596;"Вход";"2024-12-15 10:34:30"
21229597;"Выход";"2024-12-15 10:34:50"
21229598;"Выход";"2024-12-15 10:34:40"
21229599;"Вход";"2024-12-15 10:34:50"
21229600;"Вход";"2024-12-15 10:34:50"
21229601;"Вход";"2024-12-15 10:35:01"
21229602;"Вход";"2024-12-15 10:35:11"
21229603;"Вход";"2024-12-15 10:35:12"
21229604;"Вход";"2024-12-15 10:35:12"
21229605;"Выход";"2024-12-15 10:36:01"
21229606;"Выход";"2024-12-15 10:36:00"
21229607;"Вход";"2024-12-15 10:36:48"
21229608;"Вход";"2024-12-15 10:36:48"
21229609;"Вход";"2024-12-15 10:36:48"
21229610;"Вход";"2024-12-15 10:37:18"
21229611;"Выход";"2024-12-15 10:37:32"
21229612;"Выход";"2024-12-15 10:37:31"
21229613;"Вход";"2024-12-15 10:37:39"
21229614;"Вход";"2024-12-15 10:37:39"
21229615;"Вход";"2024-12-15 10:37:40"
21229616;"Вход";"2024-12-15 10:37:45"
21229617;"Вход";"2024-12-15 10:37:48"
21229618;"Вход";"2024-12-15 10:38:06"
21229619;"Вход";"2024-12-15 10:38:07"
